year,jurisdiction,jurisdiction_name,complaints,inquiries
2001,MS,Mississippi,13000,15000
2001,MT,Montana,1880,1357
2001,NC,North Carolina,10286,100633
2001,ND,North Dakota,432,14696
2001,NE,Nebraska,2536,16932
2001,NH,New Hampshire,1682,42241
2001,NJ,New Jersey,9341,3270
2001,NM,New Mexico,1426,11658
2001,NV,Nevada,2580,51304
2001,NY,New York,75000,465000
2001,OH,Ohio,9929,168497
2001,OK,Oklahoma,7336,50118
2001,OR,Oregon,4659,17090
2001,PA,Pennsylvania,18946,110612
2001,RI,Rhode Island,753,0
2001,SC,South Carolina,4120,56125
2001,SD,South Dakota,1698,6297
2001,TN,Tennessee,3904,36870
2001,TX,Texas,45091,344428
2001,UT,Utah,1064,47832
2001,VA,Virginia,8172,0
2001,VT,Vermont,841,403
2001,WA,Washington,7051,118143
2001,WI,Wisconsin,9265,40858
2001,WV,West Virginia,3143,36747
2001,WY,Wyoming,821,4260
2002,AK,Alaska,507,6125
2002,AL,Alabama,13982,10835
2002,AR,Arkansas,3874,39723
2002,AZ,Arizona,4061,63761
2002,CA,California,46660,367638
2002,CO,Colorado,7546,78553
2002,CT,Connecticut,13352,86583
2002,DC,Dist. of Columbia,1055,6330
2002,DE,Delaware,6592,8257
2002,FL,Florida,39528,400282
2002,GA,Georgia,20032,65952
2002,HI,Hawaii,1053,7432
2002,IA,Iowa,3010,16617
2002,ID,Idaho,1341,11645
2002,IL,Illinois,13318,25475
2002,IN,Indiana,7385,152013
2002,KS,Kansas,5448,2253
2002,KY,Kentucky,7246,57049
2002,LA,Louisiana,4547,116970
2002,MA,Massachusetts,2964,39311
2002,MD,Maryland,23727,348
2002,ME,Maine,1669,20145
2002,MI,Michigan,5137,1092
2002,MN,Minnesota,3501,2868
2002,MO,Missouri,6214,63992
2002,MS,Mississippi,11000,13000
2002,MT,Montana,2266,1519
2002,NC,North Carolina,11778,105350
2002,ND,North Dakota,429,12872
2002,NE,Nebraska,0,2941
2002,NH,New Hampshire,1004,17104
2002,NJ,New Jersey,11414,44784
2002,NM,New Mexico,2389,8690
2002,NV,Nevada,2875,55812
2002,NY,New York,68000,458000
2002,OH,Ohio,11042,154316
2002,OK,Oklahoma,7182,54389
2002,OR,Oregon,5412,19364
2002,PA,Pennsylvania,23862,108513
2002,RI,Rhode Island,0,731
2002,SC,South Carolina,3723,75287
2002,SD,South Dakota,1632,7351
2002,TN,Tennessee,2864,35667
2002,TX,Texas,51049,621267
2002,UT,Utah,1938,55204
2002,VA,Virginia,7639,1167
2002,VT,Vermont,1245,660
2002,WA,Washington,7630,130240
2002,WI,Wisconsin,9164,39000
2002,WV,West Virginia,2459,27596
2002,WY,Wyoming,855,4320
2004,AK,Alaska,459,7600
2004,AL,Alabama,8011,
2004,AR,Arkansas,3320,38960
2004,AZ,Arizona,2984,64541
2004,CA,California,39737,285562
2004,CO,Colorado,5206,43268
2004,CT,Connecticut,11004,25464
2004,DC,Dist. of Columbia,967,7600
2004,DE,Delaware,7181,3867
2004,FL,Florida,94298,483823
2004,GA,Georgia,17387,66618
2004,HI,Hawaii,661,8000
2004,IA,Iowa,2431,16220
2004,ID,Idaho,1284,10507
2004,IL,Illinois,14180,146268
2004,IN,Indiana,6369,15208
2004,KS,Kansas,5315,7516
2004,KY,Kentucky,5783,398
2004,LA,Louisiana,3807,125840
2004,MA,Massachusetts,2078,34459
2004,MD,Maryland,23272,1181
2004,ME,Maine,1518,15901
2004,MI,Michigan,4771,7055
2004,MN,Minnesota,3051,1329
2004,MO,Missouri,4838,39979
2004,MS,Mississippi,15000,0
2004,MT,Montana,1738,821
2004,NC,North Carolina,11910,76933
2004,ND,North Dakota,311,9669
2004,NE,Nebraska,2122,
2004,NH,New Hampshire,1510,9970
2004,NJ,New Jersey,11406,57039
2004,NM,New Mexico,2464,
2004,NV,Nevada,2303,42598
2004,NY,New York,55097,1726
2004,OH,Ohio,7917,112202
2004,OK,Oklahoma,5744,40588
2004,OR,Oregon,4495,15431
2004,PA,Pennsylvania,21637,128129
2004,PR,Puerto Rico,1004,13072
2004,RI,Rhode Island,705,
2004,SC,South Carolina,3124,60523
2004,SD,South Dakota,1186,38
2004,TN,Tennessee,549,
2004,TX,Texas,30866,984642
2004,UT,Utah,674,46403
2004,VA,Virginia,5896,1349
2004,VT,Vermont,779,349
2004,WA,Washington,5874,98464
2004,WI,Wisconsin,7938,35000
2004,WV,West Virginia,2099,26406
2004,WY,Wyoming,586,
2005,AK,Alaska,395,7000
2005,AL,Alabama,3155,202
2005,AR,Arkansas,3157,34296
2005,AZ,Arizona,2807,57159
2005,CA,California,35823,265555
2005,CO,Colorado,5193,16075
2005,CT,Connecticut,6681,21566
2005,DC,Dist. of Columbia,865,5300
2005,DE,Delaware,8741,1543
2005,FL,Florida,67788,496723
2005,GA,Georgia,18254,58885
2005,HI,Hawaii,893,8219
2005,IA,Iowa,2247,573
2005,ID,Idaho,1045,9448
2005,IL,Illinois,12426,172010
2005,IN,Indiana,5379,54365
2005,KS,Kansas,4709,1703
2005,KY,Kentucky,4895,1010
2005,LA,Louisiana,8242,154043
2005,MA,Massachusetts,2631,27121
2005,MD,Maryland,17701,763
2005,ME,Maine,1239,14731
2005,MI,Michigan,6880,7219
2005,MN,Minnesota,2888,1071
2005,MO,Missouri,3756,35629
2005,MS,Mississippi,20000,0
2005,MT,Montana,1720,787
2005,NC,North Carolina,10264,67508
2005,ND,North Dakota,264,10299
2005,NE,Nebraska,1852,
2005,NH,New Hampshire,1091,12584
2005,NJ,New Jersey,8562,42779
2005,NM,New Mexico,1257,12269
2005,NV,Nevada,2232,40494
2005,NY,New York,54912,1470
2005,OH,Ohio,7042,110861
2005,OK,Oklahoma,4036,33429
2005,OR,Oregon,3488,16755
2005,PA,Pennsylvania,18325,125614
2005,PR,Puerto Rico,1457,11240
2005,RI,Rhode Island,783,
2005,SC,South Carolina,2462,59742
2005,SD,South Dakota,1077,7
2005,TN,Tennessee,3467,
2005,TX,Texas,27773,244492
2005,UT,Utah,648,46539
2005,VA,Virginia,4964,3144
2005,VT,Vermont,703,12446
2005,WA,Washington,5469,112829
2005,WI,Wisconsin,8186,35000
2005,WV,West Virginia,1840,23736
