year,line,rank_in_study,company_canonical,company_name,exposure,justified_ratio,justified_count,study_year
2020,home,6,INTERINSURANCE EXCHANGE OF THE AUTOMOBILE CLUB,Interinsurance Exchange of the Automobile Club,865433,2.6,21,2023
2020,home,7,CALIFORNIA AUTOMOBILE INSURANCE COMPANY,California Automobile Insurance Company,638347,1.3,8,2023
2020,home,8,FIRST NATIONAL INSURANCE COMPANY OF AMERICA,First National Insurance Company of America,100837,0.0,0,2023
2020,home,9,"FOREMOST INSURANCE COMPANY GRAND RAPIDS, MICHIGAN","Foremost Insurance Company Grand Rapids, Michigan",277174,2.8,6,2023
2020,home,10,CSAA FIRE & CASUALTY INSURANCE COMPANY,CSAA Fire & Casualty Insurance Company,79219,1.2,1,2023
2020,home,11,ASI SELECT INSURANCE CORP.,ASI Select Insurance Corp.,71553,6.1,3,2023
2020,home,12,STATE FARM GENERAL INSURANCE COMPANY,State Farm General Insurance Company,2293718,1.4,31,2023
2020,home,13,USAA GENERAL INDEMNITY COMPANY,USAA General Indemnity Company,122583,2.5,3,2023
2020,home,14,SAFECO INSURANCE COMPANY OF AMERICA,Safeco Insurance Company of America,301475,0.7,2,2023
2020,home,15,USAA CASUALTY INSURANCE COMPANY,USAA Casualty Insurance Company,228087,1.8,4,2023
2020,home,16,FIRE INS EXCH,Fire Ins Exch,911296,1.4,14,2023
2020,home,17,STILLWATER INSURANCE COMPANY,Stillwater Insurance Company,107803,8.0,5,2023
2020,home,18,WAWANESA GENERAL INSURANCE CO.,Wawanesa General Insurance Co.,51189,0.0,0,2023
2020,home,19,AMERICAN MODERN INSURANCE COMPANY,American Modern Insurance Company,50140,4.0,2,2023
2020,home,20,KEMPER INDEPENDENCE INSURANCE COMPANY,Kemper Independence Insurance Company,45151,7.3,4,2023
2020,home,21,CSAA INSURANCE EXCHANGE,CSAA Insurance Exchange,621984,5.8,36,2023
2020,home,22,INTEGON NATIONAL INSURANCE COMPANY,Integon National Insurance Company,84244,14.4,15,2023
2020,home,23,AMERICAN SECURITY INSURANCE COMPANY,American Security Insurance Company,79772,2.7,2,2023
2020,home,24,HOMESITE INSURANCE COMPANY OF CALIFORNIA,Homesite Insurance Company of California,236957,4.2,8,2023
2020,home,25,GENERAL INSURANCE COMPANY OF AMERICA,General Insurance Company of America,192702,2.6,4,2023
2020,home,26,THE STANDARD FIRE INSURANCE COMPANY,The Standard Fire Insurance Company,326275,8.4,1,2023
2020,home,27,UNITED SERVICES AUTOMOBILE ASSOCIATION,United Services Automobile Association,207064,0.9,2,2023
2020,home,28,CALIFORNIA CAPITAL INS CO,California Capital Ins Co,60183,37.8,27,2023
2020,home,29,AMERICAN BANKERS INSURANCE COMPANY,American Bankers Insurance Company,231372,2.9,6,2023
2020,home,30,ALLSTATE INSURANCE COMPANY,Allstate Insurance Company,717260,3.4,24,2023
2020,home,31,AMERICAN FAMILY CONNECT P&C INSURANCE COMPANY,American Family Connect P&C Insurance Company,109124,1.2,1,2023
2020,home,32,CSE SAFEGUARD INSURANCE COMPANY,CSE Safeguard Insurance Company,49994,1.4,1,2023
2020,home,33,LIBERTY INSURANCE CORPORATION,Liberty Insurance Corporation,240320,2.6,7,2023
2020,home,34,MID CENTURY INS CO,Mid Century Ins Co,224134,5.9,16,2023
2020,home,35,FARMERS INS EXCH,Farmers Ins Exch,403056,1.4,4,2023
2020,home,36,LEMONADE INSURANCE COMPANY,Lemonade Insurance Company,327305,6.1,13,2023
2020,home,37,FARMERS DIRECT P&C INSURANCE COMPANY,Farmers Direct P&C Insurance Company,39130,2.7,1,2023
2020,home,38,NATIONWIDE MUTUAL INSURANCE COMPANY,Nationwide Mutual Insurance Company,214012,1.6,3,2023
2020,home,39,RESIDENCE MUTUAL INSURANCE COMPANY,Residence Mutual Insurance Company,52914,0.0,0,2023
2020,home,40,PACIFIC SPECIALTY INSRUANCE,Pacific Specialty Insruance,191301,3.9,8,2023
2020,home,41,HOMESITE INSURANCE COMPANY OF THE MIDWEST,Homesite Insurance Company of the Midwest,57689,6.5,2,2023
2020,home,42,PROPERTY & CASUALTY INSURANCE COMPANY,Property & Casualty Insurance Company,49360,10.2,6,2023
2020,home,43,AMICA MUTUAL INSURANCE COMPANY,Amica Mutual Insurance Company,36582,2.7,1,2023
2020,home,44,CALIFORNIA CAS IND EXCH,California Cas Ind Exch,60679,1.6,1,2023
2020,home,45,QBE INSURANCE CORPORATION,QBE Insurance Corporation,47162,4.0,2,2023
2020,home,46,AMERICAN MODERN P&C INSURANCE COMPANY,American Modern P&C Insurance Company,105028,11.2,11,2023
2020,home,47,ZURICH AMERICAN INSURANCE COMPANY,Zurich American Insurance Company,64680,5.7,2,2023
2020,home,48,UNIVERSAL NORTH AMERICA INSURANCE COMPANY,Universal North America Insurance Company,46993,6.0,4,2023
2020,home,49,SPINNAKER INSURANCE COMPANY,Spinnaker Insurance Company,107953,0.0,0,2023
2020,home,50,AMGUARD INSURANCE COMPANY,AMGUARD INSURANCE COMPANY,49292,13.3,3,2023
2020,life,1,NORTHWESTERN MUT LIFE INS CO,Northwestern Mut Life Ins Co,358276,0.9,3,2023
2020,life,2,GERBER LIFE INS CO,Gerber Life Ins Co,251673,0.0,0,2023
2020,life,3,LINCOLN HERITAGE LIFE INS CO,Lincoln Heritage Life Ins Co,205908,1.0,2,2023
2020,life,4,PROTECTIVE LIFE INS CO,Protective Life Ins Co,142794,0.7,1,2023
2020,life,5,USAA LIFE INS CO,USAA Life Ins Co,113737,0.0,0,2023
2020,life,6,AMERICAN FIDELITY ASSUR CO,American Fidelity Assur Co,97122,1.2,1,2023
2020,life,7,TEXAS LIFE INS CO,Texas Life Ins Co,96458,0.0,0,2023
2020,life,8,GENWORTH LIFE & ANN INS CO,Genworth Life & Ann Ins Co,89543,0.0,0,2023
2020,life,9,BRIGHTHOUSE LIFE INS CO,Brighthouse Life Ins Co,83945,3.2,3,2023
2020,life,10,RELIASTAR LIFE INS CO,Reliastar Life Ins Co,82937,0.0,0,2023
2020,life,11,FIDELITY & GUAR LIFE INS CO,Fidelity & Guar Life Ins Co,77226,0.0,0,2023
2020,life,12,COLONIAL LIFE & ACCIDENT INS CO,Colonial Life & Accident Ins Co,69755,1.4,1,2023
2020,life,13,MIDLAND NATL LIFE INS CO,Midland Natl Life Ins Co,64147,1.6,1,2023
2020,life,14,PROVIDENT LIFE & ACCIDENT INS CO,Provident Life & Accident Ins Co,58940,0.0,0,2023
2020,life,15,AMERICAN FAMILY LIFE ASSUR CO OF COL,American Family Life Assur Co of Col,51040,0.0,0,2023
2020,life,16,PRINCIPAL NATL LIFE INS CO,Principal Natl Life Ins Co,45117,0.0,0,2023
2020,life,17,ALLSTATE ASSUR CO,Allstate Assur Co,44212,0.0,0,2023
2020,life,18,GUARDIAN LIFE INS CO OF AMER,Guardian Life Ins Co Of Amer,38375,0.0,0,2023
2020,life,19,STATE FARM LIFE INS CO,State Farm Life Ins Co,639252,0.2,1,2023
2020,life,20,NEW YORK LIFE INS CO,New York Life Ins Co,612221,0.2,1,2023
2020,life,21,PRIMERICA LIFE INS CO,Primerica Life Ins Co,437388,0.2,1,2023
2020,life,22,BANNER LIFE INS CO,Banner Life Ins Co,119510,0.0,0,2023
2020,life,23,UNITED INS CO OF AMER,United Ins Co Of Amer,119034,2.5,3,2023
2020,life,24,LIFE INS CO OF THE SOUTHWEST,Life Ins Co Of The Southwest,229717,2.2,4,2023
2020,life,25,JOHN HANCOCK LIFE INS CO USA,John Hancock Life Ins Co USA,114342,3.3,4,2023
2020,life,26,LINCOLN BENEFIT LIFE CO,Lincoln Benefit Life Co,99921,1.8,2,2023
2020,life,27,FARMERS NEW WORLD LIFE INS CO,Farmers New World Life Ins Co,389483,1.8,7,2023
2020,life,28,GLOBE LIFE & ACCIDENT INS CO,Globe Life & Accident Ins Co,278252,0.8,2,2023
2020,life,29,AMERICAN NATL INS CO,American Natl Ins Co,173715,1.2,2,2023
2020,life,30,NATIONWIDE LIFE & ANN INS CO,Nationwide Life & Ann Ins Co,85778,4.3,3,2023
2020,life,31,AAA LIFE INS CO,AAA Life Ins Co,254399,0.0,0,2023
2020,life,32,PRUCO LIFE INS CO,Pruco Life Ins Co,165038,0.0,0,2023
2020,life,33,PACIFIC LIFE INS CO,Pacific Life Ins Co,79207,1.4,1,2023
2020,life,34,EQUITABLE FINANCIAL LIFE INS CO,Equitable Financial Life Ins Co,62777,2.9,2,2023
2020,life,35,PRUDENTIAL INS CO OF AMER,Prudential Ins Co Of Amer,186648,2.2,5,2023
2020,life,36,AMERICAN INCOME LIFE INS CO,American Income Life Ins Co,308891,1.1,3,2023
2020,life,37,IA AMER LIFE INS CO,IA Amer Life Ins Co,60534,1.8,1,2023
2020,life,38,MASSACHUSETTS MUT LIFE INS CO,Massachusetts Mut Life Ins Co,158862,0.0,0,2023
2020,life,39,ALLSTATE LIFE INS CO,Allstate Life Ins Co,51184,0.0,0,2023
2020,life,40,WEST COAST LIFE INS CO,West Coast Life Ins Co,48980,0.0,0,2023
2020,life,41,AMERICAN GEN LIFE INS CO,American Gen Life Ins Co,456056,1.7,8,2023
2020,life,42,LINCOLN NATL LIFE INS CO,Lincoln Natl Life Ins Co,163323,1.5,2,2023
2020,life,43,UNITED OF OMAHA LIFE INS CO,United Of Omaha Life Ins Co,203287,2.2,4,2023
2020,life,44,METROPOLITAN LIFE INS CO,Metropolitan Life Ins Co,161748,2.7,5,2023
2020,life,45,NEW YORK LIFE INS & ANN CORP,New York Life Ins & Ann Corp,71934,1.4,1,2023
2020,life,46,CMFG LIFE INS CO,CMFG Life Ins Co,66741,0.0,0,2023
2020,life,47,TRANSAMERICA LIFE INS CO,Transamerica Life Ins Co,565274,1.3,7,2023
2020,life,48,JACKSON NATL LIFE INS CO,Jackson Natl Life Ins Co,55603,7.2,5,2023
2020,life,49,NORTH AMER CO LIFE & HLTH INS,North Amer Co Life & Hlth Ins,51770,2.2,1,2023
2020,life,50,BANKERS LIFE & CAS CO,Bankers Life & Cas Co,43988,2.4,1,2023
2021,auto,1,VIKING INSURANCE COMPANY OF WISCONSIN,VIKING INSURANCE COMPANY OF WISCONSIN,289553,2.0,5,2024
2021,auto,1,CALIFORNIA CAS IND EXCH,California Cas Ind Exch,156638,1.9,3,2023
2021,auto,2,ESSENTIA INSURANCE COMPANY,ESSENTIA INSURANCE COMPANY,229890,0.5,1,2024
2021,auto,3,CSAA INSURANCE EXCHANGE,CSAA INSURANCE EXCHANGE,2045680,1.1,22,2024
2021,auto,4,PROGRESSIVE DIRECT INSURANCE COMPANY,PROGRESSIVE DIRECT INSURANCE COMPANY,134298,0.0,0,2024
2021,auto,5,INTERINSURANCE EXCHANGE OF THE AUTOMOBILE CLUB,INTERINSURANCE EXCHANGE OF THE AUTOMOBILE CLUB,2858094,0.6,16,2024
2021,auto,6,GARRISON PROPERTY AND CASUALTY INSURANCE COMPANY,Garrison Property and Casualty Insurance Company,222995,2.4,5,2023
2021,auto,6,COAST NATIONAL INSURANCE COMPANY,COAST NATIONAL INSURANCE COMPANY,156431,3.4,6,2024
2021,auto,7,WAWANESA GENERAL INSURANCE COMPANY,WAWANESA GENERAL INSURANCE COMPANY,538916,1.4,8,2024
2021,auto,7,WAWANESA GENERAL INSURANCE CO.,Wawanesa General Insurance Co.,576011,1.4,8,2023
2021,auto,8,GEICO GENERAL INSURANCE COMPANY,GEICO GENERAL INSURANCE COMPANY,2455817,1.8,40,2024
2021,auto,9,GOVERNMENT EMPLOYEES INSURANCE COMPANY,GOVERNMENT EMPLOYEES INSURANCE COMPANY,198513,2.8,9,2024
2021,auto,10,VIKINGS INS CO OF WI,Vikings Ins Co Of WI,256958,2.0,5,2023
2021,auto,10,TRAVELERS COMMERCIAL INSURANCE COMPANY,TRAVELERS COMMERCIAL INSURANCE COMPANY,294561,5.8,16,2024
2021,auto,11,MID-CENTURY INSURANCE COMPANY,MID-CENTURY INSURANCE COMPANY,275719,2.7,9,2024
2021,auto,11,MID CENTURY INS CO,Mid Century Ins Co,299987,2.7,9,2023
2021,auto,12,KEMPER INDEPENDENCE INSURANCE COMPANY,KEMPER INDEPENDENCE INSURANCE COMPANY,54321,7.4,4,2024
2021,auto,12,PROGRESSIVE WEST INSURANCE COMPANY,Progressive West Insurance Company,482641,2.1,10,2023
2021,auto,13,FARMERS INSURANCE EXCHANGE,FARMERS INSURANCE EXCHANGE,1358359,2.9,40,2024
2021,auto,14,AMERICAN FAMILY CONNECT P&C INSURANCE COMPANY,AMERICAN FAMILY CONNECT P&C INSURANCE COMPANY,677231,2.9,17,2024
2021,auto,15,UNITED SERVICES AUTOMOBILE ASSOCIATION,UNITED SERVICES AUTOMOBILE ASSOCIATION,384721,1.5,6,2024
2021,auto,16,USAA CASUALTY INSURANCE COMPANY,USAA CASUALTY INSURANCE COMPANY,504620,1.6,8,2024
