year_closed,coverage,disposition,count
2026,Commercial Multi-Peril,Referred to Another State’s Dept of Insurance,3
2026,Condo/Townhome,,2
2026,Condo/Townhome,Company Position Substantiated,8
2026,Condo/Townhome,Question of Fact/Contract/Provision/Legal Issue,4
2026,Dwelling Fire,Complaint Withdrawn,1
2026,Dwelling Fire,Question of Fact/Contract/Provision/Legal Issue,2
2026,Extended Warranty,Compromised Settlement/Resolution,2
2026,Extended Warranty & Service Contracts,,7
2026,Extended Warranty & Service Contracts,Claim Settled,1
2026,Extended Warranty & Service Contracts,Company Position Substantiated,9
2026,Extended Warranty & Service Contracts,Compromised Settlement/Resolution,2
2026,Federal Flood,Company Position Substantiated,1
2026,Fidelity & Surety,,2
2026,Fidelity & Surety,No Jurisdiction,1
2026,Fidelity & Surety,Referred to Another State’s Dept of Insurance,1
2026,"Fire, Allied Lines",Company Position Substantiated,1
2026,General,Company Position Substantiated,3
2026,General,Question of Fact/Contract/Provision/Legal Issue,18
2026,General,Referred to Other Division for Possible Disciplinary Action,6
2026,Group,,613
2026,Group,Claim Reopened,4
2026,Group,Claim Settled,117
2026,Group,Company Position Overturned,72
2026,Group,Company Position Substantiated,294
2026,Group,Compromised Settlement/Resolution,16
2026,Group,Insufficient Information,4
2026,Group,No Action Requested/Required,14
2026,Group,Question of Fact/Contract/Provision/Legal Issue,48
2026,Group,Referred to Other Division for Possible Disciplinary Action,6
2026,Group Life,Claim Settled,2
2026,Group Life,Company Position Substantiated,5
2026,Group Private Passenger,,4
2026,Group Private Passenger,Company Position Substantiated,3
2026,Homeowners,,104
2026,Homeowners,Claim Settled,19
2026,Homeowners,Company Position Overturned,14
2026,Homeowners,Company Position Substantiated,230
2026,Homeowners,Complaint Withdrawn,10
2026,Homeowners,Compromised Settlement/Resolution,15
2026,Homeowners,Insufficient Information,2
2026,Homeowners,No Jurisdiction,2
2026,Homeowners,Question of Fact/Contract/Provision/Legal Issue,138
2026,Homeowners,Referred to Another State’s Dept of Insurance,1
2026,Individual,,1263
2026,Individual,Claim Settled,241
2026,Individual,Company Position Overturned,62
2026,Individual,Company Position Substantiated,337
2026,Individual,Compromised Settlement/Resolution,147
2026,Individual,Insufficient Information,6
2026,Individual,No Action Requested/Required,12
2026,Individual,Question of Fact/Contract/Provision/Legal Issue,56
2026,Individual,Referred to Outside Agency/Dept,24
2026,Individual Annuities,,1
2026,Individual Annuities,Company Position Substantiated,23
2026,Individual Annuities,Complaint Withdrawn,1
2026,Individual Annuities,Compromised Settlement/Resolution,5
2026,Individual Annuities,No Action Requested/Required,1
2026,Individual Life,,8
2026,Individual Life,Claim Settled,2
2026,Individual Life,Company Position Overturned,6
2026,Individual Life,Company Position Substantiated,57
2026,Individual Life,Compromised Settlement/Resolution,9
2026,Individual Life,No Action Requested/Required,1
2026,Individual Life,No Jurisdiction,2
2026,Individual Private Passenger,,303
2026,Individual Private Passenger,Claim Settled,111
2026,Individual Private Passenger,Company Position Overturned,27
2026,Individual Private Passenger,Company Position Substantiated,486
2026,Individual Private Passenger,Complaint Withdrawn,23
2026,Individual Private Passenger,Compromised Settlement/Resolution,26
2026,Individual Private Passenger,Insufficient Information,3
2026,Individual Private Passenger,No Action Requested/Required,3
2026,Individual Private Passenger,No Jurisdiction,12
2026,Individual Private Passenger,Question of Fact/Contract/Provision/Legal Issue,183
2026,Individual Private Passenger,Referred to Another State’s Dept of Insurance,5
2026,Individual Private Passenger,Referred to Other Division for Possible Disciplinary Action,9
2026,Inland Marine,Claim Settled,1
2026,Inland Marine,Company Position Substantiated,4
2026,Mobile Homeowner,Claim Settled,2
2026,Mobile Homeowner,Question of Fact/Contract/Provision/Legal Issue,2
2026,Motorcycle,,3
2026,Motorcycle,Company Position Substantiated,4
2026,Motorhome,Company Position Substantiated,1
2026,Ocean Marine,,4
2026,Pet Insurance,,6
2026,Pet Insurance,Claim Settled,3
2026,Pet Insurance,Company Position Overturned,4
2026,Pet Insurance,Company Position Substantiated,14
2026,Pet Insurance,Compromised Settlement/Resolution,2
2026,Portable Electronics,Company Position Substantiated,1
2026,Professional/E&O,,2
2026,Professional/E&O,Company Position Substantiated,1
2026,Professional/E&O,Question of Fact/Contract/Provision/Legal Issue,2
2026,Rental,No Jurisdiction,1
2026,Rental,Referred to Another State’s Dept of Insurance,1
2026,Renter/Tenants,,20
2026,Renter/Tenants,Company Position Substantiated,9
2026,Renter/Tenants,Compromised Settlement/Resolution,1
2026,Renter/Tenants,No Action Requested/Required,3
2026,Renter/Tenants,Question of Fact/Contract/Provision/Legal Issue,7
2026,Title,,6
2026,Travel,,5
2026,Travel,Claim Settled,10
2026,Travel,Company Position Overturned,3
2026,Travel,Company Position Substantiated,17
2026,Travel,Question of Fact/Contract/Provision/Legal Issue,3
2026,Umbrella,,6
2026,Umbrella,Company Position Substantiated,1
2026,Watercraft,Company Position Substantiated,2
2026,Workers' Compensation,Company Position Substantiated,9
2026,Workers' Compensation,Compromised Settlement/Resolution,6
2026,Workers' Compensation,No Jurisdiction,1
