year,line,naic_code,company_name,complaints,premium,market_share,complaint_share,ratio,ratio_type,reason_underwriting,reason_marketing_sales,reason_claims_handling,reason_policyholder_service,source_file
2018,group_health,70670,Health Care Serv Corp A Mut Legal Re,285,9451637770.0,0.53997,0.37698,0.7,share_of_share,,,,,2018.pdf
2018,group_health,66214,Heartland Natl Life Ins Co,0,808866.0,0.00005,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,34452,Homeland Ins Co of NY,0,0.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,64513,Horace Mann Life Ins Co,0,213518.0,0.00001,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,42374,Houston Cas Co,0,50000.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,60052,Humana Benefit Plan of IL Inc,1,615603.0,0.00004,0.00132,33.07,share_of_share,,,,,2018.pdf
2018,group_health,95885,Humana Hlth Plan Inc,3,56937918.0,0.0032500000000000003,0.0039700000000000004,1.22,share_of_share,,,,,2018.pdf
2018,group_health,73288,Humana Ins Co,31,344653792.0,0.01969,0.04101,2.08,share_of_share,,,,,2018.pdf
2018,group_health,70580,Humanadental Ins Co,0,15192336.0,0.0008699999999999999,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,64580,Illinois Mut Life Ins Co,0,869792.0,0.00005,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,27960,Illinois Union Ins Co,0,5167.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,26581,Independence Amer Ins Co,0,1634000.0,0.00008999999999999999,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,23647,Ironshore Ind Inc,0,4812148.0,0.00027,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,65056,Jackson Natl Life Ins Co,0,8953.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,11630,Jefferson Ins Co,0,1587961.0,0.00008999999999999999,0.0,0.0,share_of_share,,,,,2018.pdf
2018,group_health,65080,John Alden Life Ins Co,0,0.0,0.0,0.0,,share_of_share,,,,,2018.pdf
2018,group_health,93610,John Hancock Life & Hlth Ins Co,2,491814.0,0.00003,0.00265,88.18,share_of_share,,,,,2018.pdf
2018,group_health,65838,John Hancock Life Ins Co USA,1,13956129.0,0.0008,0.00132,1.65,share_of_share,,,,,2018.pdf
